source_id,role,location,commit,sha256,records,status
topk_seed2,globally consistent topk family outcomes,git:1a6892b:research/arc_20260826_5060_007/raw/geometry/pythia-160m-seed2.json,1a6892b,F990D9C1B18757666E5B9D00FC89D7B73C6AE534CC79BA50D0D2148253A19E89,60,verified
topk_seed3,globally consistent topk family outcomes,git:1a6892b:research/arc_20260826_5060_007/raw/geometry/pythia-160m-seed3.json,1a6892b,51D402B49FFEA06755E4EF1F81B288EF961D3F216B3E68E85F4346F072267552,60,verified
topk_seed5,globally consistent topk family outcomes,git:1a6892b:research/arc_20260826_5060_007/raw/geometry/pythia-160m-seed5.json,1a6892b,D25A858F8E3D33D45BED5A6704F8EF9F0BD44A38FDD7421CE40F2E1550BFBC9B,60,verified
topk_seed6,globally consistent topk family outcomes,git:1a6892b:research/arc_20260826_5060_007/raw/geometry/pythia-160m-seed6.json,1a6892b,0B56D4B07488A9017E16833F19BD3C1298D46CF34E16154578FDB1E02C7E97AE,60,verified
topk_seed8,globally consistent topk family outcomes,git:1a6892b:research/arc_20260826_5060_007/raw/geometry/pythia-160m-seed8.json,1a6892b,898924D9900F9A70357C72F68A40A1F513631877794E9E7431F59CBC5C445450,60,verified
argmax_seed2,globally consistent argmax family outcomes,research/arc_20260826_5060_007/raw/geometry/pythia-160m-seed2.json,4fd4d3e,59331D5144F39769E35B701E296CBE4CC0B7683C72E746E10BB52F3826E797A7,60,verified
argmax_seed3,globally consistent argmax family outcomes,research/arc_20260826_5060_007/raw/geometry/pythia-160m-seed3.json,4fd4d3e,89401CA857762298CDF4A9CE9FAA1FA57387D40326E0134D06DFAB1A37C0F419,60,verified
argmax_seed5,globally consistent argmax family outcomes,research/arc_20260826_5060_007/raw/geometry/pythia-160m-seed5.json,4fd4d3e,62EFF32E85379AF44998ECDBFBFA7823E002529E6506074487C7342AB4A97B22,60,verified
argmax_seed6,globally consistent argmax family outcomes,research/arc_20260826_5060_007/raw/geometry/pythia-160m-seed6.json,4fd4d3e,2BF37C607C34CFDCE1D0C153ED89811142ADD9D5131813FF6A683FB3F8414D5B,60,verified
argmax_seed8,globally consistent argmax family outcomes,research/arc_20260826_5060_007/raw/geometry/pythia-160m-seed8.json,4fd4d3e,09982A4D964CF0C5E11EEC193B771E921449CA37D1396799AA66F81FD9C67472,60,verified
arc006_results,frozen metadata and mixed comparison,research/arc_20260826_5060_006/processed/all_target_results.csv,21d361a,162BD3245103DE4428149FF140AA8F0AF83635A715F9D96173D0B5F23C838C71,150,verified
arc006_targets,frozen target and match assignments,research/arc_20260826_5060_006/target_manifest.csv,282b366,19DF473393F82DC2E2D1E531B6F8DF7C9DBF10590C74DE0CE9FFE39DF003DCD0,150,verified
